listing_id,property_type,city,region,price,created_at,updated_at,agent_id
id_0074,house,Aix-en-Provence,Provence-Alpes,1101678,2025-07-29,2025-07-29,agent_020
id_0075,apartment,Nice,Provence-Alpes,917971,2025-04-21,2025-05-16,agent_007
id_0076,apartment,Roubaix,Hauts-de-France,634603,2025-01-24,2025-02-19,agent_019
id_0077,loft,Versailles,Ile-de-France,828689,2025-03-10,2025-03-10,agent_017
id_0078,duplex,Lille,Hauts-de-France,753834,2025-10-27,2025-11-12,agent_006
id_0079,house,Amiens,Hauts-de-France,458584,2025-07-18,2025-08-06,agent_011
id_0080,loft,Perpignan,Occitanie,560297,2025-05-21,2025-05-31,agent_010
id_0081,house,Grenoble,Auvergne-Rhone-Alpes,782794,2025-11-05,2025-11-28,agent_017
id_0082,duplex,Poitiers,Nouvelle-Aquitaine,527900,2025-04-13,2025-04-13,agent_010
id_0083,house,Roubaix,Hauts-de-France,1094904,2025-11-29,2025-12-04,agent_017
id_0084,apartment,Nîmes,Occitanie,569348,2025-10-15,2025-11-02,agent_014
id_0085,loft,Roubaix,Hauts-de-France,313390,2025-09-25,2025-09-25,agent_013
id_0086,apartment,Marseille,Provence-Alpes,409612,2025-05-17,2025-05-22,agent_010
id_0087,house,Roubaix,Hauts-de-France,415046,2025-12-20,2025-12-26,agent_018
id_0088,loft,Saint-Denis,Ile-de-France,407458,2025-11-12,2025-12-05,agent_018
id_0089,house,Aix-en-Provence,Provence-Alpes,885740,2025-12-23,2025-12-23,agent_002
id_0090,loft,Saint-Etienne,Auvergne-Rhone-Alpes,627841,2025-10-10,2025-10-10,agent_009
id_0091,house,Aix-en-Provence,Provence-Alpes,1014575,2025-12-27,2026-01-07,agent_019
id_0092,house,Montpellier,Occitanie,658467,2025-08-18,2025-08-18,agent_003
id_0093,duplex,Nice,Provence-Alpes,637726,2025-07-13,2025-07-13,agent_009
id_0094,house,Nîmes,Occitanie,518746,2025-10-27,2025-10-27,agent_011
id_0095,apartment,Grenoble,Auvergne-Rhone-Alpes,361169,2025-06-15,2025-07-09,agent_020
id_0096,loft,Roubaix,Hauts-de-France,876884,2025-07-03,2025-07-03,agent_011
id_0097,house,Montpellier,Occitanie,895895,2025-02-04,2025-02-09,agent_014
id_0098,apartment,Perpignan,Occitanie,566375,2025-04-24,2025-05-15,agent_011
id_0099,studio,Poitiers,Nouvelle-Aquitaine,157264,2025-11-13,2025-11-30,agent_001
id_0100,loft,Saint-Denis,Ile-de-France,552023,2025-11-25,2025-12-14,agent_008
id_0101,loft,Saint-Denis,Ile-de-France,418881,2025-07-17,2025-07-17,agent_010
id_0102,duplex,Saint-Denis,Ile-de-France,833447,2025-08-17,2025-08-26,agent_007
id_0103,apartment,Bordeaux,Nouvelle-Aquitaine,563289,2025-10-03,2025-10-23,agent_003
id_0104,loft,Nice,Provence-Alpes,613462,2025-04-16,2025-05-08,agent_014
id_0105,house,Lille,Hauts-de-France,374906,2025-08-24,2025-08-25,agent_003
id_0106,house,Paris,Ile-de-France,2956985,2025-05-09,2025-05-27,agent_008
id_0107,loft,Pau,Nouvelle-Aquitaine,773039,2025-11-19,2025-11-29,agent_001
id_0108,duplex,Lyon,Auvergne-Rhone-Alpes,459277,2025-11-25,2025-11-27,agent_019
id_0109,studio,Paris,Ile-de-France,579537,2025-02-24,2025-02-24,agent_010
id_0110,studio,Toulouse,Occitanie,214734,2025-07-15,2025-08-05,agent_001
id_0111,duplex,Grenoble,Auvergne-Rhone-Alpes,530545,2025-03-11,2025-04-05,agent_018
id_0112,studio,Limoges,Nouvelle-Aquitaine,197813,2025-01-06,2025-01-23,agent_005
id_0113,apartment,Paris,Ile-de-France,1533060,2025-10-03,2025-10-05,agent_010
id_0114,house,Toulon,Provence-Alpes,782699,2025-11-27,2025-12-01,agent_006
id_0115,duplex,Nice,Provence-Alpes,847527,2025-04-10,2025-04-10,agent_019
id_0116,duplex,Versailles,Ile-de-France,376697,2025-05-29,2025-06-06,agent_004
id_0117,studio,Aix-en-Provence,Provence-Alpes,193621,2025-03-07,2025-03-14,agent_004
id_0118,house,Bordeaux,Nouvelle-Aquitaine,1024833,2025-09-06,2025-09-25,agent_010
id_0119,duplex,Amiens,Hauts-de-France,894397,2025-07-06,2025-08-05,agent_014
id_0120,studio,Marseille,Provence-Alpes,164533,2025-04-24,2025-05-14,agent_014
id_0121,house,Poitiers,Nouvelle-Aquitaine,1062591,2025-06-19,2025-07-03,agent_015
id_0122,loft,Poitiers,Nouvelle-Aquitaine,878469,2025-02-25,2025-02-25,agent_020
id_0123,house,Saint-Denis,Ile-de-France,914781,2025-04-11,2025-04-11,agent_003
id_0124,apartment,Lille,Hauts-de-France,731815,2025-11-20,2025-11-20,agent_019
id_0125,duplex,Perpignan,Occitanie,523095,2025-01-19,2025-02-05,agent_018
id_0126,studio,Grenoble,Auvergne-Rhone-Alpes,202891,2025-04-25,2025-05-13,agent_010
id_0127,duplex,Aix-en-Provence,Provence-Alpes,835205,2025-02-16,2025-03-04,agent_001
id_0128,duplex,Amiens,Hauts-de-France,473899,2025-09-21,2025-09-21,agent_006
id_0129,loft,Nice,Provence-Alpes,1014336,2025-01-21,2025-01-21,agent_016
id_0130,studio,Marseille,Provence-Alpes,196845,2025-04-30,2025-04-30,agent_007
id_0131,loft,Nîmes,Occitanie,792489,2025-08-21,2025-08-22,agent_011
id_0132,studio,Saint-Denis,Ile-de-France,242698,2025-10-19,2025-10-19,agent_013
id_0133,duplex,Bordeaux,Nouvelle-Aquitaine,845710,2025-07-12,2025-07-19,agent_017
id_0134,studio,Clermont-Ferrand,Auvergne-Rhone-Alpes,227627,2025-09-04,2025-09-04,agent_017
id_0135,house,Aix-en-Provence,Provence-Alpes,591162,2025-02-09,2025-02-17,agent_007
id_0136,house,Nice,Provence-Alpes,1094727,2025-11-05,2025-11-08,agent_008
id_0137,apartment,Clermont-Ferrand,Auvergne-Rhone-Alpes,704906,2025-12-12,2025-12-18,agent_019
id_0138,apartment,Aix-en-Provence,Provence-Alpes,455506,2025-01-23,2025-01-23,agent_019
id_0139,duplex,Nice,Provence-Alpes,511641,2025-10-21,2025-10-21,agent_006
id_0140,duplex,Limoges,Nouvelle-Aquitaine,725151,2025-11-03,2025-11-23,agent_001
id_0141,apartment,Roubaix,Hauts-de-France,427114,2025-08-18,2025-09-02,agent_016
id_0142,loft,Nice,Provence-Alpes,674466,2025-10-26,2025-10-31,agent_020
id_0143,house,Roubaix,Hauts-de-France,1109364,2025-12-18,2026-01-01,agent_020
id_0144,house,Toulouse,Occitanie,746583,2025-07-17,2025-07-17,agent_001
id_0145,house,Aix-en-Provence,Provence-Alpes,984924,2025-02-19,2025-02-19,agent_020
id_0146,duplex,Toulouse,Occitanie,827778,2025-03-02,2025-03-02,agent_005
id_0147,loft,Toulouse,Occitanie,847403,2025-08-04,2025-08-05,agent_017
id_0148,loft,Grenoble,Auvergne-Rhone-Alpes,699755,2025-06-29,2025-07-22,agent_019
id_0149,house,Versailles,Ile-de-France,616881,2025-09-02,2025-10-01,agent_003
id_0150,studio,Pau,Nouvelle-Aquitaine,149550,2025-01-03,2025-01-28,agent_001
id_0151,duplex,Toulouse,Occitanie,307543,2025-07-12,2025-08-03,agent_011
id_0152,apartment,Clermont-Ferrand,Auvergne-Rhone-Alpes,362297,2025-08-07,2025-08-15,agent_009
id_0153,duplex,Perpignan,Occitanie,683405,2025-11-10,2025-11-10,agent_013
id_0154,duplex,Aix-en-Provence,Provence-Alpes,884646,2025-09-05,2025-09-05,agent_018
id_0155,studio,Perpignan,Occitanie,180387,2025-10-23,2025-11-14,agent_013
id_0156,apartment,Amiens,Hauts-de-France,440932,2025-08-17,2025-09-16,agent_006
id_0157,duplex,Boulogne-Billancourt,Ile-de-France,720018,2025-06-23,2025-07-12,agent_002
id_0158,apartment,Aix-en-Provence,Provence-Alpes,295513,2025-03-16,2025-04-04,agent_014
id_0159,studio,Paris,Ile-de-France,395337,2025-07-09,2025-07-09,agent_002
id_0160,loft,Dunkerque,Hauts-de-France,846313,2025-05-27,2025-06-15,agent_002
id_0161,loft,Aix-en-Provence,Provence-Alpes,311230,2025-04-14,2025-05-13,agent_017
id_0162,apartment,Limoges,Nouvelle-Aquitaine,735348,2025-09-22,2025-10-11,agent_006
id_0163,studio,Lille,Hauts-de-France,162719,2025-12-02,2025-12-02,agent_006
id_0164,loft,Saint-Denis,Ile-de-France,670281,2025-12-09,2025-12-27,agent_007
id_0165,apartment,Toulouse,Occitanie,294545,2025-10-09,2025-10-09,agent_018
id_0166,studio,Nîmes,Occitanie,172484,2025-04-26,2025-05-02,agent_015
id_0167,studio,Lyon,Auvergne-Rhone-Alpes,218826,2025-07-28,2025-08-14,agent_003
id_0168,studio,Nîmes,Occitanie,130673,2025-09-20,2025-10-18,agent_018
id_0169,loft,Nîmes,Occitanie,695397,2025-10-16,2025-10-23,agent_011
id_0170,duplex,Saint-Etienne,Auvergne-Rhone-Alpes,328679,2025-09-04,2025-09-04,agent_003
id_0171,house,Grenoble,Auvergne-Rhone-Alpes,1189030,2025-06-11,2025-06-22,agent_017
id_0172,studio,Toulouse,Occitanie,165079,2025-05-28,2025-05-28,agent_011
id_0173,loft,Boulogne-Billancourt,Ile-de-France,629119,2025-07-01,2025-07-01,agent_019
id_0174,house,Limoges,Nouvelle-Aquitaine,873238,2025-04-13,2025-04-13,agent_008
id_0175,house,Limoges,Nouvelle-Aquitaine,562616,2025-05-08,2025-05-19,agent_005
id_0176,apartment,Paris,Ile-de-France,1791490,2025-11-11,2025-11-11,agent_018
id_0177,studio,Versailles,Ile-de-France,182684,2025-09-10,2025-10-08,agent_019
id_0178,house,Pau,Nouvelle-Aquitaine,1151387,2025-09-19,2025-09-19,agent_008
id_0179,apartment,Montpellier,Occitanie,751273,2025-08-05,2025-08-22,agent_002
id_0180,loft,Nîmes,Occitanie,483291,2025-08-23,2025-09-14,agent_017
id_0181,apartment,Clermont-Ferrand,Auvergne-Rhone-Alpes,212394,2025-12-12,2025-12-12,agent_019
id_0182,studio,Saint-Denis,Ile-de-France,168078,2025-04-06,2025-04-13,agent_009
id_0183,studio,Clermont-Ferrand,Auvergne-Rhone-Alpes,148211,2025-09-13,2025-09-26,agent_012
id_0184,studio,Pau,Nouvelle-Aquitaine,218155,2025-04-03,2025-04-21,agent_008
id_0185,house,Saint-Denis,Ile-de-France,932316,2025-08-10,2025-08-16,agent_005
id_0186,loft,Amiens,Hauts-de-France,310215,2025-04-01,2025-04-05,agent_017
id_0187,loft,Nîmes,Occitanie,614608,2025-05-09,2025-05-27,agent_002
id_0188,house,Lyon,Auvergne-Rhone-Alpes,619428,2025-04-21,2025-05-06,agent_004
id_0189,studio,Clermont-Ferrand,Auvergne-Rhone-Alpes,194624,2025-07-04,2025-08-02,agent_009
id_0190,loft,Bordeaux,Nouvelle-Aquitaine,640689,2025-06-29,2025-07-29,agent_020
id_0191,studio,Nice,Provence-Alpes,289633,2025-06-16,2025-07-01,agent_015
id_0192,duplex,Versailles,Ile-de-France,600441,2025-08-26,2025-08-30,agent_006
id_0193,loft,Roubaix,Hauts-de-France,899405,2025-07-27,2025-07-29,agent_003
id_0194,house,Toulon,Provence-Alpes,678709,2025-06-12,2025-07-04,agent_009
id_0195,studio,Perpignan,Occitanie,216627,2025-07-05,2025-07-21,agent_015
id_0196,house,Grenoble,Auvergne-Rhone-Alpes,374223,2025-03-06,2025-03-27,agent_009
id_0197,house,Lille,Hauts-de-France,525018,2025-07-23,2025-07-23,agent_003
id_0198,apartment,Lyon,Auvergne-Rhone-Alpes,924445,2025-09-26,2025-09-28,agent_004
id_0199,apartment,Limoges,Nouvelle-Aquitaine,608783,2025-06-08,2025-06-08,agent_010
id_0200,house,Grenoble,Auvergne-Rhone-Alpes,902329,2025-03-29,2025-03-29,agent_012
id_0201,loft,Pau,Nouvelle-Aquitaine,866843,2025-05-20,2025-05-24,agent_018
id_0202,duplex,Aix-en-Provence,Provence-Alpes,756106,2025-09-26,2025-10-13,agent_010
id_0203,duplex,Pau,Nouvelle-Aquitaine,538161,2025-02-15,2025-02-26,agent_014
id_0204,studio,Limoges,Nouvelle-Aquitaine,102767,2025-01-01,2025-01-25,agent_005
id_0205,loft,Poitiers,Nouvelle-Aquitaine,861091,2025-01-05,2025-01-20,agent_016
id_0206,loft,Bordeaux,Nouvelle-Aquitaine,910726,2025-11-02,2025-11-02,agent_001
id_0207,house,Nîmes,Occitanie,781736,2025-10-15,2025-10-22,agent_006
id_0208,loft,Dunkerque,Hauts-de-France,531307,2025-05-15,2025-05-15,agent_008
id_0209,studio,Nîmes,Occitanie,239445,2025-05-18,2025-06-14,agent_003
id_0210,studio,Nice,Provence-Alpes,193393,2025-11-23,2025-12-07,agent_009
id_0211,house,Dunkerque,Hauts-de-France,686219,2025-01-10,2025-01-10,agent_018
id_0212,apartment,Boulogne-Billancourt,Ile-de-France,495818,2025-05-18,2025-05-18,agent_015
id_0213,house,Lille,Hauts-de-France,444578,2025-03-19,2025-03-19,agent_007
id_0214,studio,Pau,Nouvelle-Aquitaine,230651,2025-07-10,2025-08-04,agent_002
id_0215,house,Bordeaux,Nouvelle-Aquitaine,613140,2025-05-17,2025-05-19,agent_018
id_0216,house,Grenoble,Auvergne-Rhone-Alpes,612227,2025-07-15,2025-07-18,agent_008
id_0217,house,Saint-Etienne,Auvergne-Rhone-Alpes,1123449,2025-01-18,2025-01-18,agent_004
id_0218,loft,Montpellier,Occitanie,708024,2025-12-15,2026-01-13,agent_011
id_0219,duplex,Marseille,Provence-Alpes,846230,2025-03-04,2025-03-04,agent_010
id_0220,apartment,Toulon,Provence-Alpes,428367,2025-02-27,2025-02-27,agent_014
id_0221,house,Bordeaux,Nouvelle-Aquitaine,1774467,2025-05-22,2025-06-03,agent_008
id_0222,duplex,Paris,Ile-de-France,1995892,2025-12-19,2025-12-30,agent_003
id_0223,loft,Nice,Provence-Alpes,593761,2025-12-18,2026-01-16,agent_002
id_0224,house,Saint-Denis,Ile-de-France,1085395,2025-10-02,2025-10-06,agent_016
id_0225,duplex,Toulon,Provence-Alpes,664189,2025-08-13,2025-08-13,agent_013
id_0226,studio,Limoges,Nouvelle-Aquitaine,110351,2025-09-06,2025-09-23,agent_010
id_0227,house,Perpignan,Occitanie,944229,2025-04-06,2025-04-16,agent_015
id_0228,apartment,Limoges,Nouvelle-Aquitaine,756937,2025-03-21,2025-04-16,agent_009
id_0229,loft,Nîmes,Occitanie,300754,2025-11-23,2025-12-16,agent_006
id_0230,duplex,Saint-Denis,Ile-de-France,550385,2025-06-14,2025-07-05,agent_018
id_0231,duplex,Grenoble,Auvergne-Rhone-Alpes,821718,2025-10-10,2025-10-10,agent_010
id_0232,studio,Pau,Nouvelle-Aquitaine,128957,2025-02-19,2025-02-21,agent_002
id_0233,apartment,Nice,Provence-Alpes,617842,2025-02-24,2025-02-27,agent_002
id_0234,loft,Perpignan,Occitanie,851363,2025-11-16,2025-11-24,agent_002
id_0235,duplex,Limoges,Nouvelle-Aquitaine,374316,2025-01-07,2025-01-13,agent_016
id_0236,apartment,Versailles,Ile-de-France,578458,2025-10-13,2025-11-10,agent_014
id_0237,duplex,Bordeaux,Nouvelle-Aquitaine,868090,2025-09-28,2025-09-28,agent_003
id_0238,house,Bordeaux,Nouvelle-Aquitaine,1342078,2025-02-19,2025-02-19,agent_008
id_0239,house,Perpignan,Occitanie,552500,2025-09-27,2025-10-15,agent_006
id_0240,apartment,Perpignan,Occitanie,575351,2025-12-12,2026-01-02,agent_014
id_0241,house,Boulogne-Billancourt,Ile-de-France,926680,2025-07-25,2025-08-15,agent_006
id_0242,studio,Perpignan,Occitanie,182615,2025-10-09,2025-10-19,agent_012
id_0243,studio,Saint-Etienne,Auvergne-Rhone-Alpes,163103,2025-10-16,2025-10-28,agent_018
id_0244,studio,Roubaix,Hauts-de-France,218594,2025-08-18,2025-08-18,agent_002
id_0245,duplex,Bordeaux,Nouvelle-Aquitaine,662470,2025-06-04,2025-06-04,agent_008
id_0246,apartment,Toulon,Provence-Alpes,489362,2025-10-11,2025-10-29,agent_019
id_0247,apartment,Marseille,Provence-Alpes,682732,2025-07-02,2025-07-02,agent_009
id_0248,house,Limoges,Nouvelle-Aquitaine,618691,2025-06-03,2025-06-03,agent_013
id_0249,apartment,Montpellier,Occitanie,540464,2025-09-05,2025-09-05,agent_019
id_0250,apartment,Saint-Denis,Ile-de-France,600080,2025-02-10,2025-03-11,agent_011
id_0251,loft,Pau,Nouvelle-Aquitaine,426395,2025-04-27,2025-05-24,agent_020
id_0252,apartment,Versailles,Ile-de-France,519588,2025-09-26,2025-09-26,agent_018
id_0253,studio,Montpellier,Occitanie,231701,2025-12-24,2025-12-24,agent_002
id_0254,loft,Dunkerque,Hauts-de-France,829247,2025-02-16,2025-02-16,agent_010
id_0255,house,Grenoble,Auvergne-Rhone-Alpes,702497,2025-02-12,2025-03-07,agent_002
id_0256,studio,Perpignan,Occitanie,122302,2025-07-24,2025-08-17,agent_005
id_0257,duplex,Aix-en-Provence,Provence-Alpes,507731,2025-09-07,2025-09-25,agent_007
id_0258,house,Montpellier,Occitanie,425124,2025-05-17,2025-05-27,agent_019
id_0259,loft,Paris,Ile-de-France,1860285,2025-07-07,2025-07-17,agent_012
id_0260,studio,Toulouse,Occitanie,144369,2025-06-29,2025-07-24,agent_015
id_0261,loft,Montpellier,Occitanie,347057,2025-04-30,2025-04-30,agent_012
id_0262,apartment,Marseille,Provence-Alpes,257187,2025-05-05,2025-06-03,agent_005
id_0263,studio,Bordeaux,Nouvelle-Aquitaine,193755,2025-06-06,2025-06-06,agent_011
id_0264,house,Nice,Provence-Alpes,1384450,2025-09-25,2025-10-12,agent_016
id_0265,apartment,Montpellier,Occitanie,594900,2025-10-26,2025-11-11,agent_002
id_0266,apartment,Limoges,Nouvelle-Aquitaine,497809,2025-04-13,2025-05-02,agent_009
id_0267,apartment,Versailles,Ile-de-France,269832,2025-07-18,2025-08-08,agent_012
id_0268,studio,Paris,Ile-de-France,503310,2025-04-29,2025-05-15,agent_004
id_0269,duplex,Pau,Nouvelle-Aquitaine,857381,2025-02-15,2025-02-15,agent_017
id_0270,apartment,Lyon,Auvergne-Rhone-Alpes,689113,2025-09-29,2025-10-14,agent_013
id_0271,apartment,Amiens,Hauts-de-France,563625,2025-12-17,2026-01-06,agent_010
id_0272,apartment,Toulon,Provence-Alpes,470196,2025-07-18,2025-08-13,agent_001
id_0273,house,Nîmes,Occitanie,509077,2025-06-24,2025-07-15,agent_005
id_0274,duplex,Versailles,Ile-de-France,538475,2025-08-02,2025-08-02,agent_005
id_0275,duplex,Clermont-Ferrand,Auvergne-Rhone-Alpes,645280,2025-08-18,2025-08-24,agent_005
id_0276,house,Montpellier,Occitanie,674008,2025-12-19,2026-01-04,agent_005
id_0277,duplex,Grenoble,Auvergne-Rhone-Alpes,465725,2025-06-12,2025-06-12,agent_018
id_0278,house,Lille,Hauts-de-France,683025,2025-03-16,2025-04-09,agent_011
id_0279,studio,Saint-Etienne,Auvergne-Rhone-Alpes,216130,2025-11-23,2025-12-01,agent_005
id_0280,house,Marseille,Provence-Alpes,543720,2025-01-14,2025-02-02,agent_020
id_0281,duplex,Limoges,Nouvelle-Aquitaine,543461,2025-04-29,2025-05-10,agent_003
id_0282,house,Dunkerque,Hauts-de-France,876725,2025-11-06,2025-11-26,agent_012
id_0283,loft,Aix-en-Provence,Provence-Alpes,796864,2025-03-12,2025-03-12,agent_008
id_0284,apartment,Versailles,Ile-de-France,482967,2025-07-31,2025-07-31,agent_007
id_0285,house,Marseille,Provence-Alpes,810623,2025-11-12,2025-11-22,agent_015
id_0286,loft,Aix-en-Provence,Provence-Alpes,343858,2025-11-08,2025-11-20,agent_011
id_0287,duplex,Lyon,Auvergne-Rhone-Alpes,621939,2025-08-20,2025-09-17,agent_002
id_0288,apartment,Aix-en-Provence,Provence-Alpes,784791,2025-07-18,2025-08-07,agent_002
id_0289,loft,Toulon,Provence-Alpes,717375,2025-06-05,2025-06-14,agent_015
id_0290,studio,Aix-en-Provence,Provence-Alpes,114299,2025-12-20,2025-12-24,agent_015
id_0291,apartment,Dunkerque,Hauts-de-France,724977,2025-02-27,2025-02-27,agent_019
id_0292,loft,Amiens,Hauts-de-France,733648,2025-06-15,2025-06-20,agent_015
id_0293,loft,Montpellier,Occitanie,394560,2025-05-09,2025-05-29,agent_006
id_0294,apartment,Lille,Hauts-de-France,319710,2025-12-28,2026-01-08,agent_003
id_0295,duplex,Perpignan,Occitanie,467666,2025-07-13,2025-07-14,agent_006
id_0296,house,Limoges,Nouvelle-Aquitaine,501631,2025-04-02,2025-04-03,agent_014
id_0297,loft,Poitiers,Nouvelle-Aquitaine,602808,2025-11-17,2025-11-17,agent_005
id_0298,duplex,Marseille,Provence-Alpes,565406,2025-01-07,2025-02-03,agent_016
