contact_id,listing_id,contact_source,contact_timestamp
id_0055,id_0201,organic,2025-06-17 13:25:00
id_0056,id_0138,organic,2025-02-23 23:14:00
id_0057,id_0158,organic,2025-04-13 13:14:00
id_0058,id_0275,partner,2025-08-31 20:07:00
id_0059,id_0313,partner,2025-02-25 04:38:00
id_0060,id_0011,paid,2025-06-27 02:49:00
id_0061,id_0393,paid,2026-02-10 00:00:00
id_0062,id_0275,partner,2025-08-30 05:53:00
id_0063,id_0118,paid,2025-09-24 05:58:00
id_0064,id_0111,organic,2025-04-15 23:15:00
id_0065,id_0433,paid,2025-07-18 16:06:00
id_0066,id_0022,partner,2025-08-23 00:00:00
id_0067,id_0127,paid,2025-02-18 08:47:00
id_0068,id_0336,paid,2025-09-23 04:52:00
id_0069,id_0442,partner,2025-03-31 02:04:00
id_0070,id_0391,partner,2025-08-20 00:00:00
id_0071,id_0310,paid,2026-01-07 03:47:00
id_0072,id_0100,partner,2026-01-02 09:50:00
id_0073,id_0381,organic,2025-02-27 09:17:00
id_0074,id_0136,paid,2025-12-16 18:30:00
id_0075,id_0048,paid,2026-01-05 13:35:00
id_0076,id_0465,organic,2025-03-19 17:32:00
id_0077,id_0255,organic,2025-03-09 11:48:00
id_0078,id_0232,organic,2025-03-05 18:01:00
id_0079,id_0229,paid,2025-12-16 15:36:00
id_0080,id_0171,organic,2025-07-29 00:00:00
id_0081,id_0443,partner,2026-01-09 00:00:00
id_0082,id_0430,organic,2025-06-02 16:46:00
id_0083,id_0031,paid,2025-05-25 08:26:00
id_0084,id_0428,partner,2025-07-30 01:20:00
id_0085,id_0209,partner,2025-05-18 08:44:00
id_0086,id_0407,partner,2025-09-02 17:31:00
id_0087,id_0121,partner,2025-07-09 14:45:00
id_0088,id_0440,paid,2025-12-19 03:27:00
id_0089,id_0066,organic,2025-05-04 05:33:00
id_0090,id_0102,paid,2025-09-14 03:02:00
id_0091,id_0088,partner,2025-12-22 16:31:00
id_0092,id_0215,paid,2025-06-11 00:18:00
id_0093,id_0369,paid,2025-11-10 08:33:00
id_0094,id_0289,partner,2025-07-16 05:09:00
id_0095,id_0105,paid,2025-10-02 22:23:00
id_0096,id_0242,partner,2025-11-07 06:59:00
id_0097,id_0369,paid,2025-10-06 05:33:00
id_0098,id_0006,organic,2025-03-13 13:11:00
id_0099,id_0003,organic,2025-07-02 22:12:00
id_0100,id_0276,partner,2026-02-10 00:00:00
id_0101,id_0081,organic,2025-11-09 11:40:00
id_0102,id_0177,paid,2025-10-20 00:59:00
id_0103,id_0421,partner,2025-05-07 18:46:00
id_0104,id_0393,partner,2026-01-17 08:35:00
id_0105,id_0104,organic,2025-04-20 18:09:00
id_0106,id_0144,partner,2025-07-28 08:36:00
id_0107,id_0301,partner,2025-04-27 12:21:00
id_0108,id_0310,paid,2026-01-15 23:55:00
id_0109,id_0108,organic,2025-12-05 00:50:00
id_0110,id_0047,organic,2025-09-10 04:09:00
id_0111,id_0166,paid,2025-04-30 01:08:00
id_0112,id_0218,organic,2026-01-26 15:20:00
id_0113,id_0124,partner,2025-12-25 12:24:00
id_0114,id_0243,partner,2025-11-07 09:53:00
id_0115,id_0041,paid,2025-08-03 06:10:00
id_0116,id_0365,partner,2025-12-12 13:35:00
id_0117,id_0404,paid,2025-08-17 21:07:00
id_0118,id_0334,paid,2025-07-01 05:01:00
id_0119,id_0395,partner,2025-03-16 11:46:00
id_0120,id_0287,partner,2025-09-01 12:23:00
id_0121,id_0006,organic,2025-03-05 14:23:00
id_0122,id_0301,paid,2025-04-05 10:06:00
id_0123,id_0258,partner,2025-07-06 00:00:00
id_0124,id_0246,paid,2025-11-05 01:44:00
id_0125,id_0321,paid,2025-09-26 00:00:00
id_0126,id_0312,partner,2025-07-30 14:31:00
id_0127,id_0448,paid,2025-07-08 17:51:00
id_0128,id_0015,organic,2025-02-25 22:09:00
id_0129,id_0446,organic,2025-11-08 02:26:00
id_0130,id_0029,partner,2026-01-26 00:00:00
id_0131,id_0143,paid,2025-12-30 20:39:00
id_0132,id_0429,partner,2025-11-25 10:57:00
id_0133,id_0370,paid,2025-08-08 16:00:00
id_0134,id_0214,partner,2025-09-07 00:00:00
id_0135,id_0076,paid,2025-02-10 02:11:00
id_0136,id_0312,partner,2025-07-02 22:32:00
id_0137,id_0383,organic,2025-02-01 09:17:00
id_0138,id_0175,partner,2025-06-06 18:53:00
id_0139,id_0477,organic,2026-01-15 02:07:00
id_0140,id_0374,organic,2025-12-19 05:20:00
id_0141,id_0393,paid,2026-01-02 00:13:00
id_0142,id_0042,organic,2025-02-08 09:53:00
id_0143,id_0383,paid,2025-02-09 09:03:00
id_0144,id_0092,organic,2025-09-04 04:36:00
id_0145,id_0428,paid,2025-08-02 08:56:00
id_0146,id_0133,partner,2025-09-01 00:00:00
id_0147,id_0187,partner,2025-05-31 20:33:00
id_0148,id_0352,organic,2025-07-25 01:53:00
id_0149,id_0276,partner,2026-01-24 06:44:00
id_0150,id_0416,partner,2025-05-14 09:13:00
id_0151,id_0283,paid,2025-03-29 02:32:00
id_0152,id_0112,partner,2025-02-04 08:02:00
id_0153,id_0338,partner,2025-03-15 05:30:00
id_0154,id_0166,organic,2025-05-19 18:24:00
id_0155,id_0166,organic,2025-06-09 03:40:00
id_0156,id_0082,organic,2025-05-09 15:21:00
id_0157,id_0096,organic,2025-07-25 09:10:00
id_0158,id_0386,partner,2025-08-16 14:51:00
id_0159,id_0295,organic,2025-08-26 13:46:00
id_0160,id_0130,paid,2025-05-23 19:21:00
id_0161,id_0154,partner,2025-09-07 07:48:00
id_0162,id_0056,partner,2025-07-29 13:49:00
id_0163,id_0206,paid,2025-12-09 00:10:00
id_0164,id_0454,partner,2025-04-23 22:33:00
id_0165,id_0385,organic,2025-09-17 04:42:00
id_0166,id_0497,paid,2025-04-07 09:50:00
id_0167,id_0235,organic,2025-02-24 00:00:00
id_0168,id_0453,organic,2025-11-22 00:00:00
id_0169,id_0224,partner,2025-10-07 23:15:00
id_0170,id_0433,organic,2025-08-09 00:30:00
id_0171,id_0242,paid,2025-11-13 21:25:00
id_0172,id_0343,organic,2025-04-23 14:45:00
id_0173,id_0199,paid,2025-06-16 10:48:00
id_0174,id_0396,paid,2025-07-13 09:52:00
id_0175,id_0306,partner,2025-07-13 17:04:00
id_0176,id_0380,organic,2026-02-04 00:14:00
id_0177,id_0394,organic,2025-03-28 11:23:00
id_0178,id_0313,organic,2025-03-25 00:00:00
id_0179,id_0256,organic,2025-08-05 01:13:00
id_0180,id_0174,paid,2025-05-07 20:11:00
id_0181,id_0160,paid,2025-06-20 21:52:00
id_0182,id_0491,partner,2026-01-24 05:10:00
id_0183,id_0428,partner,2025-09-15 00:00:00
id_0184,id_0052,organic,2025-06-11 12:51:00
id_0185,id_0164,paid,2025-12-17 18:32:00
id_0186,id_0006,organic,2025-03-24 20:42:00
id_0187,id_0156,partner,2025-09-13 08:47:00
id_0188,id_0414,partner,2025-02-20 16:23:00
id_0189,id_0172,paid,2025-07-01 11:07:00
id_0190,id_0273,paid,2025-07-18 21:05:00
id_0191,id_0486,partner,2025-07-19 18:16:00
id_0192,id_0373,organic,2025-06-13 13:03:00
id_0193,id_0063,partner,2025-11-19 00:00:00
id_0194,id_0190,organic,2025-07-15 13:21:00
id_0195,id_0278,organic,2025-04-02 05:18:00
id_0196,id_0229,paid,2026-01-09 00:00:00
id_0197,id_0375,organic,2025-06-23 17:47:00
id_0198,id_0044,partner,2025-05-31 03:08:00
id_0199,id_0253,partner,2026-01-20 08:22:00
id_0200,id_0317,paid,2025-10-09 23:52:00
